BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Period
1,2000,20627,29800,HomeImp,Office,11,0,1,122.53333333,1,9,,2
0,2300,102370,120953,HomeImp,Office,2,0,0,90.992533467,0,13,31.588503178,2
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,,2
1,3200,27200,40834,HomeImp,Other,,0,0,298.13156403,0,7,35.553538789,2
1,3200,54000,64850,HomeImp,Other,1,0,0,121.86666667,3,21,,2
1,3500,19400,20494,HomeImp,Other,5,0,0,95.933333333,0,9,,2
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,,2
0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,,2
1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,,2
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.93286902,0,31,34.181376516,2
0,4300,72021,80027,HomeImp,Other,2,2,0,263.97030029,0,5,36.432093937,2
0,4900,67794,84630,HomeImp,Other,4,0,0,112.57341888,0,15,41.673996362,2
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,,2
0,5000,,34846,HomeImp,,,,,,,,33.354652626,2
0,5000,47479,61690,DebtCon,,5,,0,65.032969007,,16,36.699414922,2
1,5000,,71277,HomeImp,Other,10,0,0,72.433333333,1,12,,2
1,5000,,74500,HomeImp,Other,19,,,,,,,2
0,5000,73126,87500,DebtCon,Other,1,0,0,125.96666667,2,10,,2
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,,2
0,5000,80153,97275,DebtCon,Other,1,0,0,120.67506316,2,10,37.512708409,2
0,5100,73882,96031,DebtCon,Other,0,0,0,125.78740011,1,10,34.446079222,2
0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.401729548,2
0,5200,16324,45187,HomeImp,Self,,0,0,221.11808171,0,11,42.712093844,2
0,5400,68625,82304,DebtCon,Sales,2,0,0,136.63294416,0,30,32.05002349,2
0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.558049044,2,13,31.375542416,2
1,5500,,13770,HomeImp,Mgr,5,0,1,167.36666667,1,8,,2
1,5600,55160,86800,HomeImp,Other,3,1,1,148.13333333,1,14,,2
0,5700,76948,85753,HomeImp,Other,7,0,0,128.47645151,0,25,37.85968784,2
1,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,,2
1,5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,,2
0,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.464866285,2
0,5800,172595,250155,DebtCon,Sales,,0,0,126.40098356,0,21,43.20775979,2
1,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,,2
1,5900,25972,41856,DebtCon,Other,2,0,2,157.96001139,3,27,40.628278175,2
1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,,2
1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,,2
0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.56666667,0,32,,2
1,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,,2
0,6000,79046,103048,HomeImp,Other,0,0,0,181.69653802,0,32,37.289989924,2
0,6100,,47400,,,,,,,,,,2
0,6100,68743,65321,HomeImp,Sales,3,1,0,153.0667831,0,22,40.15052706,2
0,6300,78724,80355,HomeImp,Other,24,0,0,335.07414261,1,46,31.177261304,2
1,6300,59793,98314,DebtCon,Self,2.2,0,0,120.73333333,0,8,,2
0,6300,69357,73726,HomeImp,Sales,3,2,0,163.28393319,1,22,42.407814245,2
0,6400,81116,86148,HomeImp,ProfExe,8,0,0,262.17542613,0,11,42.068268179,2
0,6400,70035,78635,DebtCon,Sales,3,0,0,147.07716353,0,31,31.206129763,2
0,6400,44968,62747,HomeImp,Other,0,1,,101.39144532,,12,36.602947343,2
0,6500,51724,87770,DebtCon,,4,0,0,209.32631158,4,29,30.343448604,2
1,6500,65000,80400,DebtCon,Other,15,0,0,224.86666667,0,13,,2
0,6500,60000,70000,DebtCon,ProfExe,9,0,0,54.766666667,2,24,,2
0,6500,70300,107500,DebtCon,Office,1,0,0,242.46666667,1,38,,2
1,6700,60301,70543,HomeImp,ProfExe,5,0,0,195.78086332,0,19,32.397593406,2
1,6700,27510,42495,DebtCon,Other,2,0,2,171.52648922,3,27,41.428597508,2
1,6800,31000,42000,DebtCon,Mgr,3.5,1,0,106.26666667,2,26,,2
0,6800,178559,247611,DebtCon,Sales,,0,0,127.23414105,0,22,42.083901678,2
0,7000,78284,98214,HomeImp,Other,0,0,1,171.83838617,0,31,36.247963031,2
1,7000,18000,46520,HomeImp,Office,17,0,1,183.1,0,23,,2
0,7000,7000,31200,DebtCon,Other,5,0,0,265.06666667,0,12,,2
0,7000,29000,49000,DebtCon,Other,11,0,0,234.4,1,32,,2
1,7000,64300,119500,HomeImp,Other,1,1,0,54.833333333,0,8,,2
0,7100,98490,114457,HomeImp,Office,23,0,0,116.10008714,0,11,35.601894251,2
0,7100,58639,72412,DebtCon,ProfExe,14,0,0,120.03346455,0,20,43.678746661,2
